content,label
"A Tree
A tree beside the sandy river-beach 
    Holds up its topmost boughs 
Like fingers towards the skies they cannot reach, 
    Earth-bound, heaven amorous. 

This is the soul of man. Body and brain 
Hungry for earth our heavenly flight detain. 

",0
"Sri Krishna

O immense Light and thou, O spirit-wide boundless Space,
Whom have you clasped and hid, deathless limbs, gloried face?
 Vainly lie 'Space and Time, ""Void are we, there is none.""
Vainly strive Self and World crying, ""I, I alone.""
 One is there, Self of self, Soul of space, Fount of Time,
Heart of hearts, Mind of minds, He alone sits, sublime.
Oh, no void Absolute self-absorbed, splendid, mute,
Hands that clasp hold and red lips that kiss blow the flute.
 All He loves, all He moves, all are His, all are He!
 Many limbs sate His whims, hear His sweet ecstasy.
Two in One, Two who know difference rich in sense,
Two to clasp, One to be, this His strange mystery.",1
"Who


In the blue of the sky, in the green of the forest,
Whose is the hand that has painted the glow?
When the winds were asleep in the womb of the ether,
Who was it roused them and bade them to blow?

He is lost in the heart, in the cavern of Nature,
He is found in the brain where He builds up the thought:
In the pattern and bloom of the flowers He is woven,
In the luminous net of the stars He is caught.

In the strength of a man, in the beauty of woman,
In the laugh of a boy, in the blush of a girl;
The hand that sent Jupiter spinning through heaven,
Spends all its cunning to fashion a curl.

These are His works and His veils and His shadows;
But where is He then? by what name is He known?
Is He Brahma or Vishnu? A man or a woman?
Bodied or bodiless? twin or alone?

We have love for a boy who is dark and resplendent,
A woman is lord of us, naked and fierce.
We have seen Him a-muse on the snow of the mountains,
We have watched Him at work in the heart of the spheres.

We will tell the whole world of His ways and His cunning:
He has rapture of torture and passion and pain;
He delights in our sorrow and drives us to weeping,
Then lures with His joy and His beauty again.
All music is only the sound of His laughter,
All beauty the smile of His passionate bliss;
Our lives are His heart-beats, our rapture the bridal
Of Radha and Krishna, our love is their kiss.

He is strength that is loud in the blare of the trumpets,
And He rides in the car and He strikes in the spears;
He slays without stint and is full of compassion;
He wars for the world and its ultimate years.

In the sweep of the worlds, in the surge of the ages,
Ineffable, mighty, majestic and pure,
Beyond the last pinnacle seized by the thinker
He is throned in His seats that for ever endure.

The Master of man and his infinite Lover,
He is close to our hearts, had we vision to see;
We are blind with our pride and the pomp of our passions,
We are bound in our thoughts where we hold ourselves free.

It is He in the sun who is ageless and deathless,
And into the midnight His shadow is thrown;
When darkness was blind and engulfed within darkness,
He was seated within it immense and alone.",1
"Revelation


Someone leaping from the rocks
Past me ran with windblown
locks Like a startled bright surmise
Visible to mortal eyes, —
Just a cheek of frightened rose
That with sudden beauty glows,
Just a footstep like the wind
And a hurried glance behind,
And then nothing, — as a thought
Escapes the mind ere it is caught.
Someone of the heavenly rout
From behind the veil ran out.",0
"The Silver Call


There is a godhead of unrealised things
To which Time's splendid gains are hoarded dross;
A cry seems near, a rustle of silver wings
Calling to heavenly joy by earthly loss.


All eye has seen and all the ear has heard
Is a pale illusion by some greater voice
And mightier vision; no sweet sound or word,
No passion of hues that make the heart rejoice


Can equal these diviner ecstasies.
A Mind beyond our mind has sole the ken
Of those yet unimagined harmonies,
The fate and privilege of unborn men.


As rain-thrashed mire the marvel of the rose,
Earth waits that distant marvel to disclose.",1
"Surrender

O THOU of whom I am the instrument,
O secret Spirit and Nature housed in me,
Let all my mortal being now be blent
In Thy still glory of divinity.


I have given my mind to be dug Thy channel mind,
I have offered up my will to be Thy will :
Let nothing of myself be left behind
In our union mystic and unutterable.


My heart shall throb with the world-beats of Thy 1ove;
My body become Thy engine for earth-use;
In my nerves and veins Thy rapture's streams shall move ;
My thoughts shall be hounds of Light for Thy power to loose.


Keep only my soul to adore eternally
And meet Thee in each form and soul of Thee.",1
"Krishna

           At last I find a meaning of soul's birth
           Into this universe terrible and sweet,
     I who have felt the hungry heart of earth
         Aspiring beyond heaven to Krishna's feet.


     I have seen the beauty of immortal eyes,
        And heard the passion of the Lover's flute,

     And known a deathless ecstasy's surprise
       And sorrow in my heart for ever mute.


    Nearer apd nearer now the music draws,
         Life shudders with a strange felicity;
    All Nature is a wide enamoured pause
        Hoping her lord to touch, to clasp, to be.


    For this one moment lived the ages past;
   The world now throbs fulfilled in me at last",1
"The Blue Bird


I am the bird of God in His blue;
Divinely high and clear
I sing the notes of the sweet and the true
For the god's and the seraph's ear.

I rise like a fire from the mortal's earth
Into a griefless sky
And drop in the suffering soil of his birth
Fire-seeds of ecstasy.

My pinions soar beyond Time and Space
Into unfading Light;
I bring the bliss of the Eternal's face
And the boon of the Spirit's sight.

I measure the worlds with my ruby eyes;
I have perched on Wisdom's tree
Thronged with the blossoms of Paradise
By the streams of Eternity.

Nothing is hid from my burning heart;
My mind is shoreless and still;
My song is rapture's mystic art,
My flight immortal will.",0
"Bride of the Fire
Bride of the Fire, clasp me now close, -
Bride of the Fire!
I have shed the bloom of the earthly rose,
I have slain desire.

Beauty of the Light, surround my life, -
Beauty of the Light!
I have sacrificed longing and parted from grief,
I can bear thy delight.

Image of Ecstasy, thrill and enlace, -
Image of Bliss!
I would see only thy marvellous face,
Feel only thy kiss.

Voice of Infinity, sound in my heart, -
Call of the One!
Stamp there thy radiance, never to part,
O living sun.",1
"A God's Labour

I have gathered my dreams in a silver air
Between the gold and the blue
And wrapped them softly and left them there,
My jewelled dreams of you.

I had hoped to build a rainbow bridge
Marrying the soil to the sky
And sow in this dancing planet midge
The moods of infinity.

But too bright were our heavens, too far away,
Too frail their ethereal stuff;
Too splendid and sudden our light could not stay;
The roots were not deep enough.

He who would bring the heavens here
Must descend himself into clay
And the burden of earthly nature bear
And tread the dolorous way.

Coercing my godhead I have come down
Here on the sordid earth,
Ignorant, labouring, human grown
Twixt the gates of death and birth.

I have been digging deep and long
Mid a horror of filth and mire
A bed for the golden river’s song,
A home for the deathless fire.

I have laboured and suffered in Matter’s night
To bring the fire to man;
But the hate of hell and human spite
Are my meed since the world began.
",0
