content,label
"Our Meeting
Two of us once met
Where the streams of life and death had stopped
Where time stood still.
Today it is so far and away
Now I am sailing alone
My boat is rocking in the storm
I now remember again
How once we met
At the end of the world
Where had descended the heaven.

Forgetting all
We sat there side by side
That day I realized
What sways the blades of grass
Throughout the world
In what delight everything shivers;
In the dark how shine stars;
In what great urge
The breaths of life rush
That day I realized
When we woke up and looked at each other’s face.

Taking your hand in my hand
I kept looking at the sky
We had no words
And didn’t know how our time passed
That day I had realized in my heart of hearts
Where end the meanings of our words
How music rises from the core of the universe
How the pining woods blossom into flowers
These we realized when both of us wept
In endless pleasure.

Then we came to know in what fire
Silently burn the winds of spring
Why the morning sun
Yearns to get lost in everything
Why day and night the river runs
To meet the sea
Why the lightning is hurt by its own light
What game the night plays with dawn
Accepting defeat
All these we realized
When with each other we played
Staking our everything.
- See more at: http://allpoetry.com/Our-Meeting#sthash.S3s6knFp.dpuf",0
"Well I was born the coal miner's daughter
In a cabin, on a hill in Butcher Holler
We were poor but we had love
That's the one thing that daddy made sure of
He shoveled coal to make a poor man's dollar
My daddy worked all night in the Van Lear coal mine
All day long in the field hauling corn
Mommy rocked the babies at night
And read the Bible by the coal oil light
And everything would start all over come break of morn
Daddy loved and raised eight kids on a miner's pay
Mommy scrubbed our clothes on a washboard everyday
Why I've seen her fingers bleed, to complain there was no need
She's smiled in mommy's understanding way
In the summertime we didn't have shoes to wear
But in the wintertime we'd all get a brand new pair
From a mail order catalog, money made from selling a hog
Daddy always managed to get the money somewhere
Yeah, I'm proud to be a coal miner's daughter
I remember well the well where I drew water
The work we done was hard
At night we'd sleep 'cause we were tired
I never thought of ever leaving Butcher Holler
Well a lot of things have changed since the way back then
And it's so good to be back home again
Not much left but the floor nothing lives here anymore
Except the memories of a coal miner's daughter",1
"Them never love, never love, never love poor Marcus-they never love him, oh no
Them never love, never love
Never love poor Marcus
Till they betray him
Him own brethren sell him fe rice 'n' peas
They didn't know there would be days like this
Now do you man waste in such a squeeze, yeah

Men like Bag O' Wire should burn in fire
The betrayer of Marcus Garvey

'Til the betray, one bredren sell him for rice and peas
They didn't know there would be days like these
Now the human race in such a squeeze, mmm Yeah

Men like Bag O' Wire should burn
In fire fire fire, Lord betrayer

Black man come together, unity is forever",0
"Their daughters

Paracetamol legends I know
For rising fevers, as pain-relievers—

Of my people—father’s father’s mother’s
Mother, dark lush hair caressing her ankles
Sometimes, sweeping earth, deep-honey skin,
Amber eyes—not beauty alone they say—she
Married a man who murdered thirteen men and one
Lonely summer afternoon her rice-white teeth tore
Through layers of khaki, and golden white skin to spill
The bloodied guts of a British soldier who tried to colonize her. . .

Of my land—uniform blue open skies,
Mad-artist palettes of green lands and lily-filled lakes that
Mirror all—not peace or tranquil alone, he shudders—some
Young woman near my father’s home, with a drunken husband
Who never changed; she bore his beatings everyday until on one
Stormy night, in fury, she killed him by stomping his seedbags. . .

We: their daughters.
We: the daughters of their soil.

We, mostly, write.",0
"How they prostitute a poem

It is uniquely easy
For some to sell
Ideals because
Business of absent
Goods is essentially
A sacrosanct but mostly
A flimsy transaction.

Some learn, early on,
To prostitute their verse.
So, in all the waking hours
They scavenge for a simple simile
That matches requirements, fulfills needs.

They barter reality
And every romance
To a blurred triplicate
Carbon-copy World of Hard
Cash and Price Tags and Brand Names.

In this brothel
Of stilled hope and
Stagnated stories, poems
Are born virgin and endowed
With voluptuous figures of firm,
Full breasts and wide hips where men
Prefer to plant their pastime dreams,
Or conceive their seed,
Or merely spite themselves,
Or dabble at domination.

But, the poem, with this
Bogus existence becomes
An adept, untiring prostitute.

Taken
On a starry night,
The poem opens
(dry and drab and dreary:
lacking love and life) like
The paid-for parting
Of the thighs.
",0
"Don't Look Back

Just keep on walking
A small voice said
Don’t dare look back
Look straight ahead

Yes so many things
Have changed
Think they'd stay
As you arranged?

Be strong and brave
Calm your fears
Keep that chin up
Dry your tears.

Yes love hurt
And broke your heart
Keep your head
And heart apart.

Don’t cry over
What you have had
At least you had it
Don't be sad.

This will be tough
But time will heal
Perhaps a new life
Will then reveal.

You are not new
To this whole game
You gave your best
You're not to blame.

The hardest thing 
There is to do
Is love someone
Who not loves you.

So is it worth it
What's to gain 
When you love someone
Who brings you pain?

Just walk away
And stand up tall
Count your blessings
One and all!


",0
"When I'm With You

In your arms, 
I’m in my safe haven.
With you holding me tight,
I have no other craving.

All I need, 
is that one look,
that says you’re always there,
just like in a fairy-tale book.

Your eyes talk to me, 
as the world stands still.
My once empty heart,
now with love does fill.

Your eyes tell me,
that you'll love me everyday.
No matter what may come,
you'll be there to stay.

I tell you everything
and never with a lie.
All my worldly secrets,
and everything that once made me cry.

Everything in my past, 
with you I can forget it all.
I know I can trust you,
to catch me if I fall.

If only I could explain,
how much love I have for you.
Then maybe, just maybe
you'd feel it too.


",1
"I got the skully to my face (hardcore)
I got the skully to my face (hardcore)
'Cause anything can happen at the Carnival
(Yo make room, make room, make room, make love, make room)
You can't stop the shining
Yo, don't slip, Mike
You don't want to go there is all, trust me
I know your girl with you, but you don't want to get embarrassed
Trust me

Yo, when you're rolling to the Carnival, anything can happen
What, what, say what, say what, anything can happen
Making love to your girlfriend, anything can happen
What? Say what, say what, anything can happen
She's sleeping with your best friend 'cause anything can happen
Wh-a-at? Say what, say what, anything can happen
You roll down the block, come back with your gat
And pow, 'cause anything can happen

Feel this composition, it's a brand new dub
First thing I did was went to the pub
Tequila with worm, lemon, salt, and no rocks
'Cause when it hits my chest, it gots to be hot
Uh haha, stop, 'Clef can I rock, yo
Get out the bathroom, let me go again from the top
Feel this composition, I wrote it in the tub
First thing I did, was went to the pub
Tequila with worm, lemon, salt, and no rocks
'Cause when it hits my chest, it gots to be hot
Ahhh, stop, 'Clef can I rock
I'd like to give a shout-out to my people on the block
For you, Silly Willy playing thug cartoon
My infrared scope got your movements on zoom
Boom new toon, write songs in my room
Sleeping with the bride even though I ain't the groom
Your husband assume, come back with his goons
Put me in the trunk on your way to your honeymoon
Radio my platoon, Wyclef to Sev'
'I hear them playing Elvis, they on they way to Graceland
But they don't scare me, I'm in the trunk, I ain't sorry
Natural born killer who slept with the enemy'
Think quick -- what should I do? What did double-oh-seven do?
I pulled a bomb from my shoe
And exploded the trunk; I woke up half-drunk
Overlooked by a bunch of gypsies wit a bag of skunk

You got the skully to your face, star, anything can happen
What, what, say what, say what, anything can happen
Sellin crack in the corner, man, anything can happen
What? Say what, say what anything can happen
I just got laid off, anything can happen
What, what, say what, say what, anything can happen
You don't wanna go there, 'cause anything can happen
What, what, say what, say what, anything can happen

Ayo, anything can happen, you can't stop the shining
You looking at my watch, but my mind's really the diamond
Nine to the Seven, you better off stepping
When I'm writing with my pen, it turns into a lethal weapon (Ding!)
Take this lesson to your next session
I suggest, you practice with the freshman
Sophomore, junior, then come check the senior
By then I would have graduated from the school of ruckus
Wyclef and Jerry Wonder, last of the producers
If the royalty ain't right, I put a call to Donny Ienner
But always stay humble, went from bummy to neat
'Cause money break groups up like the Five Heartbeats
Don't get souped 'cause you pushing a coupe
Next year you on foot, running from a lawsuit
For example, I know I'm nice, I don't front it
Least anticipated to the most wanted
Yeah, that's me in the spotlight
With a mic and a guitar, like M.O.P., I like it raw

Yo, when you're rolling to the Carnival, anything can happen
What, what, say what, say what, anything can happen
Every man got disciples, anything can happen
What, what, say what, say what, anything can happen
Its all about survival man, anything can happen
Hah, say what, say what, anything can happen
You looking at me wrong, man, anything can happen
What, what, say what, say what, anything can happen

Will the Knicks win the championship this year?
Say what, say what, anything can happen
Will we find some peace of mind this year?
Say what, say what, anything can happen
You ready for the revolution this year?
Say what, say what, anything can happen
Will you make love with no condom this year?
No no, no no, that will never happen
The record is not over yet
The record is not over yet
The record is not over yet
Where the ladies at? Put yo' hands in the air!
And for the ladies, we won't play you
If you proud, shake what yo mama gave you, hey!
Whether your fat or slim, bubble your ting
Fellas if you need help, use ginseng
And for the ladies, we won't play you
If you fat, shake what yo mama gave you, hey!
Whether your fat or slim, bubble your ting
Refugee thugs hang at the roller rink
Roller skating, baby
Carnival (Make room, for the Carnival, make room)
And it don't, nine-seven to infinity
Rest in Peace, Rest in Peace
And the record is not over yet, the record is not over yet",1
"I admit it, what's to say?
I'll relive it without pain
Hm, back-street lover on the side of the road
I gotta bomb in my temple that is gonna explode
I got a sixteen gauge buried under my clothes, I play

Once upon a time I could control myself
Once upon a time I could lose myself, yeah

Oh, try and mimic, what's insane
I am in it, where do I stand?
Hm, Indian summer and I hate the heat
I got a back street lover on the passenger seat
I got my hand in my pocket, so determined, discreet, I pray

Once upon a time I could control myself
Once upon a time I could lose myself, yeah


You think I got my eyes closed
I've been looking at you the whole fucking time

Once upon a time I could control myself
Once upon a time I could lose myself, yeah

Once upon a time I could love myself, yeah
Once upon a time I could love you, yeah, yeah
Once! Once! Once! Once! Yeah
Once! Once! Yeah, yeah!
Yeah, yeah, yeah, yeah, yeah!",0
"Mulligatawny dreams

anaconda. candy. cash. catamaran.
cheroot. coolie. corundum. curry.
ginger. mango. mulligatawny.
patchouli. poppadom. rice.
tatty. teak. vetiver.

i dream of an english
full of the words of my language.

an english in small letters
an english that shall tire a white man’s tongue
an english where small children practice with smooth round
 pebbles in their mouth to the spell the right zha
an english where a pregnant woman is simply stomach-child-lady
an english where the magic of black eyes and brown bodies 
   replaces the glamour of eyes in dishwater blue shades 
   and the airbrush romance of pink white cherry blossom skins
an english where love means only the strange frenzy
   between a man and his beloved, not between him and his car
an english without the privacy of its many rooms
an english with suffixes for respect
an english with more than thirty six words to call the sea
an english that doesn’t belittle brown or black men and women
an english of tasting with five fingers
an english of talking love with eyes alone

and i dream of an english

where men
of that spiky, crunchy tongue
buy flower-garlands of jasmine
to take home to their coy wives
for the silent demand of a night of wordless whispered love . . .






",1
